,Antenna Offset from Bow,Antenna Offset from Port,Beam,Builder,Call Sign,Cargo Type,Class Society,COG,Beneficial Owner,Deadweight,Destination,Design Draft,Draft Present Load,ETA,Fishing Number,Flag,Gross Tonnage,Heading,IMO Number,Last Port of Call,Latitude,Length,Longitude,MMSI,Name,Navigation Status,Official Number,Operator,Registered Owner,P And I Club,Port Of Registry,Propulsion Type,Sat Com,Sat Com Ansbk Code,Ship Type,Speed,Status,Sub Status,Subtype,Time of Fix (formatted),Time of Fix (s since 1970),Vessel Type,Year Built,Design Speed,Double Hull,coordinates,index_right,MRGID,GEONAME,MRGID_TER1,POL_TYPE,MRGID_SOV1,TERRITORY1,ISO_TER1,SOVEREIGN1,MRGID_TER2,MRGID_SOV2,TERRITORY2,ISO_TER2,SOVEREIGN2,MRGID_TER3,MRGID_SOV3,TERRITORY3,ISO_TER3,SOVEREIGN3,X_1,Y_1,MRGID_EEZ,AREA_KM2,ISO_SOV1,ISO_SOV2,ISO_SOV3,UN_SOV1,UN_SOV2,UN_SOV3,UN_TER1,UN_TER2,UN_TER3
0,77.0,13.0,16.0,,D5KN7,9-NoInfo,,98.3,,,>cn Zos,,5.7,12231700.0,,,,106.0,9194892.0,ZHOUSHAN,57.577002,101.0,11.668572,636017359,Shota Maru,15-NotDefined,,,,,,,,,,5.1,,,,"""2022-06-06T15:14:15.000Z""",1654528455,7-Cargo,,,,POINT (11.668572 57.577002),212.0,5694.0,Swedish Exclusive Economic Zone,2180.0,200NM,2180.0,Sweden,SWE,Sweden,0.0,0.0,,,,0.0,0.0,,,,18.11517,59.4855,5694.0,155347.0,SWE,,,752.0,,,752.0,,
1,0.0,0.0,0.0,Arie Taryo P,YB3789,0-AllShips,,221.3,Indonesia,,,1.2,0.0,0.0,,Indonesia,199.0,221.3,0.0,JAKARTA,-5.927718,0.0,105.801953,525800122,Km.maulana 26,15-NotDefined,,Hasil Samudera Mandiri PT,  Unknown,Unknown,Bagansiapiapi,Propeller : Fixed Pitch,,,,7.2,S,In Service/Commission,Fish Carrier,"""2023-01-31T21:51:28.000Z""",1675201888,30-Fishing,2014-12-25,0.0,,POINT (105.801953 -5.927718),263.0,8492.0,Indonesian Exclusive Economic Zone,2127.0,200NM,2127.0,Indonesia,IDN,Indonesia,0.0,0.0,,,,0.0,0.0,,,,117.89096,-3.30391,8492.0,6020917.0,IDN,,,360.0,,,360.0,,
2,119.0,6.0,23.0,Kitanihon,3FAF5,0-AllShips,Nippon Kaiji Kyokai,304.0,Japan,10608.0,Us Bli,9.016,6.9,2271230.0,,Panama,9576.0,36.0,9412749.0,OSAKA,48.758683,143.0,-122.510783,351698000,Lady Rosebud,5-Moored,4112510C,Fresh Carriers Co Ltd,  Unknown,Japan P&I Club,Panama,Propeller : Fixed Pitch,435169810.0,,Other Cargo Ship,0.0,S,In Service/Commission,Refrigerated Cargo Ship,"""2023-03-03T18:49:34.000Z""",1677869374,7-Cargo,2009-09-05,19.6,,POINT (-122.510783 48.758683),280.0,8456.0,United States Exclusive Economic Zone,2204.0,200NM,2204.0,United States,USA,United States,0.0,0.0,,,,0.0,0.0,,,,-95.8229,34.76294,8456.0,2451023.0,USA,,,840.0,,,840.0,,
3,25.0,3.0,6.0,Rongcheng Haida Shipbuilding,BBFB7,5-Reserved,,26.4,China,,,2.6,0.0,0.0,,"China, People's Republic Of",178.0,26.4,0.0,WENZHOU,36.883225,34.0,122.446303,412706281,Lurongshui125,15-NotDefined,,Rongcheng Xinlong Aquatic,  Unknown,Unknown,"Shidao, Shandong","Propeller : Yes, Type Unknown",,,,0.2,S,In Service/Commission,Fish Carrier,"""2021-05-13T23:50:53.000Z""",1620949853,7-Cargo,0000-00-00,0.0,SH,POINT (122.446303 36.883225),209.0,8486.0,Chinese Exclusive Economic Zone,8603.0,200NM,8603.0,China,CHN,China,0.0,0.0,,,,0.0,0.0,,,,118.1457,27.73853,8486.0,963556.0,CHN,,,156.0,,,156.0,,
4,,,,Flensburger KG,,,Det Norske Veritas,0.0,Netherlands,10320.0,,6.45,,,,Malta,32770.0,0.0,9925655.0,,99.0,,199.0,229575000,TENNOR OCEAN,,9925655,IVP Ship Invest Ltd,Tennor Holding BV,Unknown,Valletta,Propeller : Controllable Pitch,,,,0.0,F,Launched,Ro-Ro Cargo Ship,"""2023-03-03T06:48:32.000Z""",1677826112,,2022-06-17,20.0,,POINT (199 99),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,11.0,6.0,12.0,Rigas Buvetava,LLVU,0-AllShips,,234.3,Norway,1200.0,Ch 16 Tlf 90576961,5.3,4.2,3211234.0,,Norway,1066.0,161.0,9267596.0,HAROYSUND,62.786925,53.0,6.473312,258375000,Ro Chief,0-Underway(Engine),,Rostein AS,Rostein AS,Unknown,Aalesund,Propeller : Controllable Pitch,,,,0.0,S,In Service/Commission,Fish Carrier,"""2023-03-03T18:47:35.000Z""",1677869255,7-Cargo,2002-04-20,0.0,SH,POINT (6.473312 62.786925),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,,YB2121,0-AllShips,,317.2,,,,,0.0,0.0,,,,317.2,0.0,JAKARTA,-5.924512,0.0,106.775413,525600782,Km Belawan Indah Vi,15-NotDefined,,,,,,,,,,7.7,,,,"""2022-06-29T07:55:39.000Z""",1656489339,30-Fishing,,,,POINT (106.775413 -5.924512),263.0,8492.0,Indonesian Exclusive Economic Zone,2127.0,200NM,2127.0,Indonesia,IDN,Indonesia,0.0,0.0,,,,0.0,0.0,,,,117.89096,-3.30391,8492.0,6020917.0,IDN,,,360.0,,,360.0,,
7,100.0,15.0,30.0,Boelwerf Temse,C6WH7,0-AllShips,Det Norske Veritas,277.8,Netherlands,7726.0,Varna,8.853,6.4,2151700.0,,Bahamas,7743.0,270.0,8912156.0,VARNA,43.190675,100.0,27.90012,311051000,Green Chile,5-Moored,8001390,Green Reefers,Seatrade Groningen BV,Skuld,Nassau                                ,Propeller : Fixed Pitch,,,,0.0,S,In Service/Commission,Refrigerated Cargo Ship,"""2023-02-24T15:58:41.000Z""",1677254321,7-Cargo,1992-01-31,19.6,,POINT (27.90012 43.190675),178.0,5672.0,Bulgarian Exclusive Economic Zone,2174.0,200NM,2174.0,Bulgaria,BGR,Bulgaria,0.0,0.0,,,,0.0,0.0,,,,29.20165,42.93396,5672.0,34745.0,BGR,,,100.0,,,100.0,,
8,94.0,6.0,17.0,Kyokuyo Shipyard Corp,DSQS6,0-AllShips,Korean Register,89.7,South Korea,5456.0,Fm Pni,7.11,5.3,3081700.0,,"Korea, South",4519.0,89.0,920924500.0,POHNEPI HARBOR,4.99935,121.0,135.039545,441690000,Sohoh,0-Underway(Engine),JJR-101951,Oswego Ltd,Boyang Ltd,Korea P&I Club,Jeju,Propeller : Fixed Pitch,,,Other Cargo Ship,15.0,S,In Service/Commission,Refrigerated Cargo Ship,"""2023-03-03T17:12:56.000Z""",1677863576,7-Cargo,1999-04-28,15.8,,POINT (135.039545 4.99935),197.0,8315.0,Palau Exclusive Economic Zone,8594.0,200NM,8594.0,Palau,PLW,Palau,0.0,0.0,,,,0.0,0.0,,,,133.0671,6.44073,8315.0,614807.0,PLW,,,585.0,,,585.0,,
9,38.0,5.0,8.0,,BUCY7,0-AllShips,,47.0,,,Tong Yeong,,4.2,10182300.0,,,,46.0,8410433.0,CHAOZHOU,25.205157,54.0,119.83884,412453002,Fu Yuan Yu F32,8-Underway(Sailing),,,,,,,,,,13.1,,,,"""2021-02-19T23:35:35.000Z""",1613777735,30-Fishing,,,,POINT (119.83884 25.205157),209.0,8486.0,Chinese Exclusive Economic Zone,8603.0,200NM,8603.0,China,CHN,China,0.0,0.0,,,,0.0,0.0,,,,118.1457,27.73853,8486.0,963556.0,CHN,,,156.0,,,156.0,,
10,0.0,0.0,0.0,,YEA5381,0-AllShips,,-1.0,,,,,0.0,0.0,,,,-1.0,0.0,,-5.623725,0.0,134.794557,525600439,525600439,15-NotDefined,,,,,,,,,,0.0,,,,"""2023-02-17T11:47:55.000Z""",1676634475,32-BigTow,,,,POINT (134.794557 -5.623725),263.0,8492.0,Indonesian Exclusive Economic Zone,2127.0,200NM,2127.0,Indonesia,IDN,Indonesia,0.0,0.0,,,,0.0,0.0,,,,117.89096,-3.30391,8492.0,6020917.0,IDN,,,360.0,,,360.0,,
11,82.0,13.0,16.0,Aarhus Flydedok A/S - late,LAHD6,0-AllShips,Registro Italiano Navale,95.1,Norway,4230.0,Pa Blb,6.0,6.4,3180800.0,,Norway (Nis),3817.0,98.0,9143386.0,DUTCH HARBOR,54.384473,98.0,-165.663637,257859000,Silver Copenhagen,0-Underway(Engine),,Silver Green TC AS,Fjord Shipping AS-Maaloy,Gard,Bergen                                ,Propeller : Fixed Pitch,,,Other Cargo Ship,14.4,S,In Service/Commission,Refrigerated Cargo Ship,"""2023-03-03T18:51:55.000Z""",1677869515,7-Cargo,1997-11-01,15.0,,POINT (-165.663637 54.384473),275.0,8463.0,United States Exclusive Economic Zone (Alaska),8684.0,200NM,2204.0,Alaska,,United States,0.0,0.0,,,,0.0,0.0,,,,-119.9766,59.0117,8463.0,3682912.0,USA,,,840.0,,,,,
12,59.0,10.0,13.0,Kochi (Kaisei),UIWS,0-AllShips,Russian Maritime Register,175.1,Russia,1714.0,Vvo,4.652,4.6,3030800.0,,Russia,1745.0,235.0,8303927.0,VLADIVOSTOK,43.101883,76.0,131.884515,273310240,Apollo Flyer,5-Moored,,Rosfishflot Co Ltd,  Unknown,Unknown,Korsakov,Propeller : Fixed Pitch,,,,0.0,S,In Service/Commission,Refrigerated Cargo Ship,"""2023-03-03T18:50:10.000Z""",1677869410,7-Cargo,1983-04-11,12.8,,POINT (131.884515 43.101883),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,20.0,4.0,8.0,Samish,WDC5268,0-AllShips,,71.0,United States of America,,,0.0,2.0,2460.0,,United States Of America,137.0,71.0,0.0,PORT MOLLER,54.89784,28.0,-162.633597,367038430,Windward,15-NotDefined,931898,Heuker Bros Inc,Heuker Bros Inc,Unknown,"Warrendale, OR",Propeller : Fixed Pitch,,,,6.0,S,In Service/Commission,Fishing Vessel,"""2022-09-12T16:03:44.000Z""",1662998624,30-Fishing,0000-00-00,0.0,SH,POINT (-162.633597 54.89784),275.0,8463.0,United States Exclusive Economic Zone (Alaska),8684.0,200NM,2204.0,Alaska,,United States,0.0,0.0,,,,0.0,0.0,,,,-119.9766,59.0117,8463.0,3682912.0,USA,,,840.0,,,,,
14,,,,Yamanaka,,,,0.0,Philippines,1454.0,,4.232,,,,Philippines,499.0,0.0,8319768.0,,99.0,,199.0,548793000,SAN ANDRES 179,,DAV4003514,TSP Livestock & Development,  Unknown,Unknown,General Santos,Propeller : Fixed Pitch,454879310.0,,,0.0,S,In Service/Commission,Refrigerated Cargo Ship,"""2023-03-03T06:48:32.000Z""",1677826112,,1983-02-26,12.0,,POINT (199 99),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15.0,3.0,6.0,,YB 5656,0-AllShips,,137.8,,,,,0.0,0.0,,,,137.8,0.0,JOHOR,0.980093,25.0,104.21189,525500249,Km.satria Jaya Baru1,15-NotDefined,,,,,,,,,,5.7,,,,"""2022-11-30T14:41:11.000Z""",1669819271,30-Fishing,,,,POINT (104.21189 0.980093),263.0,8492.0,Indonesian Exclusive Economic Zone,2127.0,200NM,2127.0,Indonesia,IDN,Indonesia,0.0,0.0,,,,0.0,0.0,,,,117.89096,-3.30391,8492.0,6020917.0,IDN,,,360.0,,,360.0,,
16,4.0,3.0,6.0,Aas Mekaniske Verksted AS,LK3773,9-NoInfo,,138.6,Norway,,Molde,0.0,3.8,2021200.0,,Norway,103.0,-1.0,8882973.0,MOLDE,62.797127,21.0,6.90326,257103440,Reflex,0-Underway(Engine),,Lovart Aqua Logistics AS,Lovart Aqua Logistics AS,Unknown,Harstad,Propeller : Fixed Pitch,,,,0.0,S,In Service/Commission,Fish Carrier,"""2023-03-03T18:50:48.000Z""",1677869448,7-Cargo,0000-00-00,7.5,SH,POINT (6.90326 62.797127),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,100.0,9.0,18.0,Braila Santierul Naval,3EAH4,0-AllShips,Bureau Veritas,0.0,Turkey,9169.0,Haifa,8.102,7.3,3030800.0,,Panama,6065.0,163.0,8914312.0,TASUCU,32.813557,131.0,35.031337,357925000,Mehmet Aga,1-AtAnchor,4660315A,Unimarin Denizcilik,  Unknown,Standard Club,Panama,Propeller : Controllable Pitch,,,Other Cargo Ship,0.0,S,In Service/Commission,General Cargo Ship,"""2023-03-03T17:57:41.000Z""",1677866261,7-Cargo,1987-11-01,13.0,,POINT (35.031337 32.813557),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,157.0,3.0,25.0,Danyard A/S,C6QK,0-AllShips,Lloyd's Register,248.4,United States of America,14140.0,Ec Pbo,9.2,7.0,3060600.0,,Bahamas,14061.0,217.0,9059614.0,PUERTO CRISTOBAL,9.38194,180.0,-79.917207,308701000,Barrington Island,0-Underway(Engine),706683,Ecuadorian Line Inc,Grupo Noboa Inc,Standard Club,Nassau                                ,Propeller : Fixed Pitch,430800289.0,BARR,,8.0,S,In Service/Commission,Refrigerated Cargo Ship,"""2023-03-03T18:49:09.000Z""",1677869349,7-Cargo,1993-05-24,21.5,,POINT (-79.917207 9.38194),72.0,8423.0,Panamanian Exclusive Economic Zone,2249.0,200NM,2249.0,Panama,PAN,Panama,0.0,0.0,,,,0.0,0.0,,,,-80.34583,8.2888,8423.0,331318.0,PAN,,,591.0,,,591.0,,
19,40.0,0.0,0.0,Mukai,JM5956,0-AllShips,,320.6,Japan,575.0,,3.961,0.0,0.0,,Japan,340.0,236.6,0.0,KARATSU,33.360795,40.0,129.435447,431601123,Genpukumaru No.73,15-NotDefined,132602,Toyo Gyogyo KK-Tokyo,Toyo Gyogyo KK-Tokyo,Unknown,"Hirado, Nagasaki",Propeller : Controllable Pitch,,,,0.0,S,In Service/Commission,Fishing Vessel,"""2023-03-03T18:33:42.000Z""",1677868422,30-Fishing,1990-11-21,0.0,SH,POINT (129.435447 33.360795),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,Lien Ho,BEOZ,0-AllShips,,245.8,Taiwan,2499.0,,5.74,0.0,2460.0,CT8-0036,Chinese Taipei,2495.0,16.4,8680442.0,KAO-HSIUNG,22.568882,0.0,120.312957,416542000,Her Wen No 1,15-NotDefined,011240,Her Wen Fishery Co Ltd,  Unknown,Unknown,Kaohsiung,Propeller : Fixed Pitch,,,,0.0,S,In Service/Commission,Fish Carrier,"""2021-11-16T11:46:57.000Z""",1637063217,30-Fishing,0000-00-00,0.0,SH,POINT (120.312957 22.568882),206.0,8321.0,Taiwanese Exclusive Economic Zone,2177.0,200NM,2177.0,Taiwan,TWN,Taiwan,0.0,0.0,,,,0.0,0.0,,,,118.71458,21.42076,8321.0,355433.0,TWN,,,158.0,0.0,0.0,158.0,0.0,0.0
21,11.0,5.0,10.0,,,0-AllShips,,93.1,,,,,0.0,0.0,,,,293.4,0.0,JURONG ISLAND,0.998448,33.0,103.390285,525015724,Tenaga Baru I,15-NotDefined,,,,,,,,,,0.1,,,,"""2023-02-28T18:00:20.000Z""",1677607220,52-Tug,,,,POINT (103.390285 0.998448),263.0,8492.0,Indonesian Exclusive Economic Zone,2127.0,200NM,2127.0,Indonesia,IDN,Indonesia,0.0,0.0,,,,0.0,0.0,,,,117.89096,-3.30391,8492.0,6020917.0,IDN,,,360.0,,,360.0,,
22,0.0,0.0,0.0,,1067,9-NoInfo,,348.7,,,,,0.0,0.0,,,,348.0,0.0,KIRKENES,67.896843,0.0,12.82904,259237000,Bakke Jr,15-NotDefined,,,,,,,,,,2.1,,,,"""2022-02-28T08:24:35.000Z""",1646036675,9-Other,,,,POINT (12.82904 67.896843),272.0,5686.0,Norwegian Exclusive Economic Zone,2252.0,200NM,2252.0,Norway,NOR,Norway,0.0,0.0,,,,0.0,0.0,,,,14.05714,68.18893,5686.0,933027.0,NOR,,,578.0,,,578.0,,
23,0.0,0.0,0.0,Hasan Wijaya,YEA4409,0-AllShips,,298.8,Indonesia,,Mb,1.2,0.0,4030800.0,,Indonesia,287.0,298.8,0.0,,-8.057532,0.0,135.178187,525800292,Intan Fortuna,15-NotDefined,,Starindo Jaya Maju PT,  Unknown,Unknown,Cirebon,Propeller : Fixed Pitch,,,,5.3,S,In Service/Commission,Fish Carrier,"""2022-06-16T17:50:21.000Z""",1655401821,30-Fishing,0000-00-00,0.0,,POINT (135.178187 -8.057532),263.0,8492.0,Indonesian Exclusive Economic Zone,2127.0,200NM,2127.0,Indonesia,IDN,Indonesia,0.0,0.0,,,,0.0,0.0,,,,117.89096,-3.30391,8492.0,6020917.0,IDN,,,360.0,,,360.0,,
24,6.0,3.0,8.0,Rigas Buvetava,CB7620,0-AllShips,,285.8,Chile,796.0,,5.031,5.3,5161830.0,,Chile,345.0,312.0,9187784.0,PUERTO MONTT,-41.518862,32.0,-73.0281,725013100,Rio Dulce,5-Moored,3072,Rio Dulce SA,  Unknown,Unknown,Valparaiso,Propeller : Controllable Pitch,,,,0.1,S,In Service/Commission,Fish Carrier,"""2022-08-17T13:01:10.000Z""",1660741270,36-Sailing,1999-04-06,0.0,SH,POINT (-73.0281 -41.518862),10.0,8465.0,Chilean Exclusive Economic Zone,2165.0,200NM,2165.0,Chile,CHL,Chile,0.0,0.0,,,,0.0,0.0,,,,-75.62881,-40.98629,8465.0,2488052.0,CHL,,,152.0,,,152.0,,
25,98.0,10.0,18.0,Shikoku Dockyard,T8A3212,0-AllShips,International Register,339.2,Romania,5311.0,Es Lpa,7.8,7.4,3030000.0,,Palau,5877.0,18.0,8806242.0,LAS PALMAS,28.087512,136.0,-15.397937,511100124,Atlantic Rose,1-AtAnchor,P018026,Atlantic Rose Maritime Ltd,  Unknown,Thomas Miller Specialty,Malakal Harbour,Propeller : Fixed Pitch,,,,0.1,S,In Service/Commission,Livestock Carrier,"""2023-03-03T18:46:32.000Z""",1677869192,7-Cargo,1988-07-08,16.7,,POINT (-15.397937 28.087512),69.0,8364.0,Spanish Exclusive Economic Zone (Canary Islands),3743.0,200NM,2185.0,Canary Islands,,Spain,0.0,0.0,,,,0.0,0.0,,,,-17.61396,28.36715,8364.0,445910.0,ESP,,,724.0,,,,,
26,82.0,3.0,14.0,Ysselwerf,3FUH5,0-AllShips,Bureau Veritas,153.4,Spain,3439.0,Es Zjf,5.106,5.0,2240700.0,,Panama,2689.0,351.0,7710276.0,PORTO GRANDE,42.60497,97.0,-8.93098,352545000,Mv/montecruz,5-Moored,2273696F,CalvoPesca SA,CalvoPesca SA,Britannia P&I,Panama,Propeller : Controllable Pitch,,,,0.0,S,In Service/Commission,Refrigerated Cargo Ship,"""2023-03-03T18:43:06.000Z""",1677868986,7-Cargo,1978-01-24,15.0,,POINT (-8.93098 42.60497),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,222.0,22.0,32.0,Hanjin HI & Const - Busan,9HA5569,1-HazCatA,Bureau Veritas,277.0,France,68038.0,Nzakl,13.521,11.6,3010800.0,,Malta,54152.0,218.0,9322463.0,TAURANGA,-34.257867,294.0,173.887267,229705000,Cma Cgm Marlin,0-Underway(Engine),9322463,CMA CGM SA The French Line,CMA CGM SA The French Line,Steamship Mutual,Valletta,Propeller : Fixed Pitch,,,,1.0,S,In Service/Commission,Container Ship,"""2023-03-03T18:52:46.000Z""",1677869566,7-Cargo,2006-09-02,24.3,DHE,POINT (173.887267 -34.257867),243.0,8455.0,New Zealand Exclusive Economic Zone,2227.0,200NM,2227.0,New Zealand,NZL,New Zealand,0.0,0.0,,,,0.0,0.0,,,,71.72752,-42.76594,8455.0,4104551.0,NZL,,,554.0,,,554.0,,
28,10.0,6.0,10.0,Aas Mekaniske Verksted AS,LLPM,0-AllShips,Flag authority,41.8,Norway,650.0,Fishfarms,0.0,5.0,5130200.0,,Norway,836.0,323.0,9255995.0,FLORO,60.398823,58.0,5.317185,258476000,Langsund,15-NotDefined,,Rostein AS,Rostein AS,Unknown,Tromso                                ,Propeller : Fixed Pitch,,,,0.0,S,In Service/Commission,Fish Carrier,"""2023-03-03T18:54:09.000Z""",1677869649,7-Cargo,2001-08-15,0.0,SH,POINT (5.317185 60.398823),272.0,5686.0,Norwegian Exclusive Economic Zone,2252.0,200NM,2252.0,Norway,NOR,Norway,0.0,0.0,,,,0.0,0.0,,,,14.05714,68.18893,5686.0,933027.0,NOR,,,578.0,,,578.0,,
29,67.0,7.0,14.0,Kanasashi - Shizuoka,H3OD,0-AllShips,Korean Register,25.1,China,2637.0,Shidao,5.376,4.5,2240600.0,,Panama,2596.0,12.0,9109263.0,PUSAN,36.831573,89.0,122.261765,356065000,Bao Win,1-AtAnchor,2734100E,Bao Fortune Shipmanagement Co,Bao Fortune Shipmanagement Co,London P&I Club,Panama,Propeller : Fixed Pitch,1206242.0,,,3.1,S,In Service/Commission,Refrigerated Cargo Ship,"""2023-02-25T06:34:55.000Z""",1677306895,7-Cargo,1994-08-11,12.7,,POINT (122.261765 36.831573),209.0,8486.0,Chinese Exclusive Economic Zone,8603.0,200NM,8603.0,China,CHN,China,0.0,0.0,,,,0.0,0.0,,,,118.1457,27.73853,8486.0,963556.0,CHN,,,156.0,,,156.0,,
30,5.0,3.0,6.0,Bayou Marine Bayou La Bat,WDF8056,0-AllShips,,267.4,United States of America,,,0.0,0.0,0.0,,United States Of America,130.0,263.5,0.0,SEWARD,60.087358,30.0,-149.351967,367490930,Northern Spirit,15-NotDefined,613825,Snug Harbor Marine LLC,Snug Harbor Seafoods Inc,Unknown,"Kenai, AK",Propeller : Fixed Pitch,,,,0.0,S,In Service/Commission,Fishing Vessel,"""2022-09-01T18:12:58.000Z""",1662055978,30-Fishing,1979-00-00,0.0,SH,POINT (-149.351967 60.087358),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,116.0,6.0,22.0,,3FIC4,0-AllShips,,272.0,,,Zhoushan Cn,,8.5,12290800.0,,,,303.0,9135169.0,BANGKOK,30.118425,143.0,122.142132,374198000,Hai Feng 718,5-Moored,,,,,,,,,,0.0,,,,"""2023-01-10T17:44:35.000Z""",1673372675,7-Cargo,,,,POINT (122.142132 30.118425),209.0,8486.0,Chinese Exclusive Economic Zone,8603.0,200NM,8603.0,China,CHN,China,0.0,0.0,,,,0.0,0.0,,,,118.1457,27.73853,8486.0,963556.0,CHN,,,156.0,,,156.0,,
32,16.0,4.0,6.0,,YEB5395,0-AllShips,,79.3,,,,,0.0,0.0,,,,79.3,0.0,BENOA,-7.916692,26.0,132.385278,525600929,Km Nusantara Jaya-36,15-NotDefined,,,,,,,,,,6.2,,,,"""2023-03-01T13:29:56.000Z""",1677677396,30-Fishing,,,,POINT (132.385278 -7.916692),263.0,8492.0,Indonesian Exclusive Economic Zone,2127.0,200NM,2127.0,Indonesia,IDN,Indonesia,0.0,0.0,,,,0.0,0.0,,,,117.89096,-3.30391,8492.0,6020917.0,IDN,,,360.0,,,360.0,,
33,15.0,15.0,21.0,,V4VW4,0-AllShips,,317.8,,,Bhavnagar India,,4.8,12210800.0,,,,315.0,9046411.0,KEPPEL - (EAST SINGAPORE),21.381572,146.0,72.195205,341889000,Ethan,0-Underway(Engine),,,,,,,,,,13.1,,,,"""2022-12-22T21:44:36.000Z""",1671745476,7-Cargo,,,,POINT (72.195205 21.381572),233.0,8480.0,Indian Exclusive Economic Zone,2128.0,200NM,2128.0,India,IND,India,0.0,0.0,,,,0.0,0.0,,,,76.08532,14.598,8480.0,1659487.0,IND,,,356.0,,,356.0,,
34,18.0,8.0,16.0,Sefine Shipyard Co Inc,LGUY,0-AllShips,Det Norske Veritas,83.5,Norway,3000.0,Fishfarms,6.77,6.5,12312359.0,,Norway,3685.0,53.0,9694799.0,KRISTIANSUND,63.511948,78.0,9.079437,257906000,Gaasoe Viking,0-Underway(Engine),,Froy Rederi AS,Gaso Naeringsutvikling AS,Gard,Trondheim,Propeller : Controllable Pitch,,,,0.0,S,In Service/Commission,Fish Carrier,"""2023-03-03T18:47:41.000Z""",1677869261,7-Cargo,0000-00-00,0.0,SH,POINT (9.079437 63.511948),272.0,5686.0,Norwegian Exclusive Economic Zone,2252.0,200NM,2252.0,Norway,NOR,Norway,0.0,0.0,,,,0.0,0.0,,,,14.05714,68.18893,5686.0,933027.0,NOR,,,578.0,,,578.0,,
35,4.0,3.0,6.0,,WDD6837,0-AllShips,,284.0,,,,,0.0,0.0,,,,-1.0,0.0,CORDOVA,60.544687,17.0,-145.766467,367178270,Raidawn,15-NotDefined,,,,,,,,,,0.0,,,,"""2021-04-13T20:28:52.000Z""",1618345732,30-Fishing,,,,POINT (-145.766467 60.544687),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,49.0,10.0,13.0,Baltijos,UIRO,0-AllShips,Russian Maritime Register,270.0,Russia,899.0,Njk,4.04,4.2,9222000.0,,Russia,2390.0,270.0,9075840.0,NAKHODKA,42.792162,85.0,132.884175,273815080,Amurskoe,5-Moored,,Seafoodkam LLC,  Unknown,Unknown,Korsakov,Propeller : Fixed Pitch,,,,0.0,S,In Service/Commission,Fish Factory Ship,"""2023-03-01T22:59:54.000Z""",1677711594,30-Fishing,0000-00-00,11.25,SH,POINT (132.884175 42.792162),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,7.0,4.0,8.0,At Tacoma Wa,WSB7849,0-AllShips,,188.2,United States of America,,,0.0,3.0,2460.0,,United States Of America,110.0,131.4,731638100.0,KETCHIKAN,55.350475,24.0,-131.683182,367041530,Haida Chief,0-Underway(Engine),242177,Klose K,  Unknown,Unknown,"Ketchikan, AK",Propeller : Fixed Pitch,,,,0.0,S,In Service/Commission,Fishing Vessel,"""2022-10-23T22:07:25.000Z""",1666562845,30-Fishing,0000-00-00,0.0,SH,POINT (-131.683182 55.350475),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,7.0,5.0,7.0,Halter Services New Orlea,WDF4089,0-AllShips,,298.7,United States of America,,Homer[ak_,1.829,3.0,2082000.0,,United States Of America,101.0,298.7,0.0,HOMER,59.605128,26.0,-151.422777,338898000,Egegik Spirit,5-Moored,299957,Egegik Spirit Group LLC,  Unknown,Shipowners' Club,"Kodiak, AK",Propeller : Fixed Pitch,,,,1.2,S,In Service/Commission,Research Vessel,"""2022-08-26T22:13:53.000Z""",1661552033,32-BigTow,0000-00-00,9.0,,POINT (-151.422777 59.605128),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,100.0,0.0,0.0,Xinle Shipyard,BO12345,9-NoInfo,,63.1,China,586.0,,3.601,0.0,0.0,,"China, People's Republic Of",487.0,63.1,0.0,DONGSHAN,25.785887,100.0,119.6831,412440007,00607--5,15-NotDefined,080007000001,Pingtan Fengshun Aquatic,  Unknown,Unknown,"Fuzhou, Fujian",Propeller : Fixed Pitch,,,,5.6,S,In Service/Commission,Fish Carrier,"""2023-02-19T21:37:12.000Z""",1676842632,0-Unknown,0000-00-00,11.25,SH,POINT (119.6831 25.785887),209.0,8486.0,Chinese Exclusive Economic Zone,8603.0,200NM,8603.0,China,CHN,China,0.0,0.0,,,,0.0,0.0,,,,118.1457,27.73853,8486.0,963556.0,CHN,,,156.0,,,156.0,,
